Date_Of_Stop,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed,speed_limit,speed_over,percentage_over_limit,hour_of_day
12/29/2017,No,01 - Motorcycle,2004,RED,HISPANIC,F,MD,74,55,19,34.54545,9
12/29/2017,No,02 - Automobile,2009,GRAY,BLACK,M,MD,54,45,9,20,10
12/29/2017,No,02 - Automobile,2002,SILVER,BLACK,M,VA,44,35,9,25.71429,10
12/29/2017,No,02 - Automobile,2002,SILVER,BLACK,M,VA,44,35,9,25.71429,10
12/29/2017,No,02 - Automobile,2000,TAN,WHITE,M,MD,44,35,9,25.71429,10
12/29/2017,No,02 - Automobile,2000,TAN,WHITE,M,MD,44,35,9,25.71429,10
12/29/2017,No,02 - Automobile,2000,TAN,WHITE,M,MD,44,35,9,25.71429,15
12/29/2017,No,02 - Automobile,2000,TAN,WHITE,M,MD,44,35,9,25.71429,15
12/29/2017,No,02 - Automobile,2002,GOLD,HISPANIC,M,MD,44,35,9,25.71429,15
12/29/2017,No,02 - Automobile,2016,WHITE,ASIAN,M,MD,39,30,9,30,16
12/29/2017,No,02 - Automobile,2012,BLACK,WHITE,M,MD,54,45,9,20,18
12/29/2017,No,02 - Automobile,2013,SILVER,WHITE,F,MD,54,45,9,20,18
12/29/2017,No,02 - Automobile,2011,BLACK,WHITE,M,MD,54,45,9,20,18
12/29/2017,No,02 - Automobile,2010,"BLUE, DARK",HISPANIC,M,VA,84,60,24,40,11
12/29/2017,No,02 - Automobile,2010,"BLUE, DARK",HISPANIC,M,VA,65,50,15,30,2
12/29/2017,No,02 - Automobile,2010,"BLUE, DARK",HISPANIC,M,VA,53,35,18,51.42857,19
12/29/2017,No,02 - Automobile,2010,"BLUE, DARK",HISPANIC,M,VA,64,55,9,16.36364,22
12/29/2017,No,02 - Automobile,2010,"BLUE, DARK",HISPANIC,M,VA,102,55,47,85.45455,1
12/29/2017,No,02 - Automobile,2014,RED,BLACK,M,VA,75,55,20,36.36364,6
12/29/2017,No,02 - Automobile,2014,RED,BLACK,M,VA,75,55,20,36.36364,7
12/29/2017,No,02 - Automobile,2004,SILVER,WHITE,F,MD,75,55,20,36.36364,7
12/29/2017,No,02 - Automobile,2008,BLACK,WHITE,F,MD,93,55,38,69.09091,7
12/29/2017,No,02 - Automobile,2007,BLACK,BLACK,F,MD,39,30,9,30,13
12/29/2017,No,02 - Automobile,2008,BLACK,WHITE,F,MD,39,30,9,30,13
12/29/2017,No,02 - Automobile,2004,MAROON,BLACK,M,MD,55,35,20,57.14286,19
12/29/2017,No,02 - Automobile,2003,BLACK,HISPANIC,M,MD,69,40,29,72.5,23
12/29/2017,No,02 - Automobile,2003,BLACK,HISPANIC,M,MD,46,30,16,53.33333,16
12/29/2017,No,02 - Automobile,2014,BLACK,ASIAN,F,MD,80,35,45,128.57143,23
12/29/2017,No,02 - Automobile,2011,BLACK,WHITE,M,MD,58,45,13,28.88889,18
12/29/2017,No,02 - Automobile,2010,GRAY,BLACK,F,MD,39,30,9,30,14
12/29/2017,No,02 - Automobile,2013,WHITE,BLACK,M,MD,39,30,9,30,14
12/29/2017,No,02 - Automobile,2017,SILVER,BLACK,M,MD,39,30,9,30,14
12/29/2017,No,02 - Automobile,2017,SILVER,BLACK,M,MD,39,30,9,30,10
12/29/2017,No,02 - Automobile,2012,SILVER,BLACK,M,WV,39,30,9,30,10
12/29/2017,No,02 - Automobile,2017,BLACK,WHITE,F,MD,65,40,25,62.5,8
12/29/2017,No,02 - Automobile,2012,SILVER,WHITE,M,MD,49,40,9,22.5,9
12/29/2017,No,02 - Automobile,2009,COPPER,OTHER,F,PA,49,40,9,22.5,18
12/29/2017,No,02 - Automobile,2012,SILVER,WHITE,M,MD,46,30,16,53.33333,16
12/29/2017,No,02 - Automobile,1992,GOLD,HISPANIC,F,MD,50,30,20,66.66667,16
12/29/2017,No,02 - Automobile,2017,GRAY,WHITE,M,MD,64,55,9,16.36364,11
12/29/2017,No,02 - Automobile,2017,GRAY,WHITE,M,MD,44,35,9,25.71429,5
12/29/2017,No,02 - Automobile,1997,GRAY,BLACK,M,MD,64,55,9,16.36364,2
12/29/2017,No,02 - Automobile,2017,BLACK,WHITE,M,DC,64,55,9,16.36364,23
12/29/2017,No,02 - Automobile,2017,BLACK,WHITE,M,DC,64,55,9,16.36364,0
12/29/2017,No,02 - Automobile,2017,BLACK,WHITE,M,DC,80,55,25,45.45455,3
12/29/2017,No,02 - Automobile,2015,SILVER,OTHER,F,MD,37,25,12,48,2
12/29/2017,No,02 - Automobile,2005,BLUE,HISPANIC,F,MD,49,35,14,40,18
12/29/2017,No,02 - Automobile,2005,BLUE,HISPANIC,F,MD,64,50,14,28,7
12/29/2017,No,02 - Automobile,2007,SILVER,HISPANIC,M,MD,59,50,9,18,8
12/29/2017,No,02 - Automobile,2007,SILVER,HISPANIC,M,MD,59,50,9,18,8
12/29/2017,No,02 - Automobile,2013,BLACK,OTHER,M,VA,59,50,9,18,8
12/29/2017,No,02 - Automobile,2013,BLACK,OTHER,M,VA,59,50,9,18,9
12/29/2017,No,02 - Automobile,2005,RED,BLACK,M,MD,59,50,9,18,9
12/29/2017,No,05 - Light Duty Truck,2006,WHITE,WHITE,M,MD,64,50,14,28,9
12/29/2017,No,02 - Automobile,2006,BLUE,WHITE,M,DC,49,40,9,22.5,9
12/29/2017,No,02 - Automobile,1999,GOLD,BLACK,M,MD,79,55,24,43.63636,17
12/29/2017,No,02 - Automobile,1999,GOLD,BLACK,M,MD,38,30,8,26.66667,7
